#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,2.0,AWD0000n5q,1915-09-27,Folkestone,Folkestone,United Kingdom,1.1663557,51.0887105
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,2.0,AWD0000n5q,1915-09-27,Boulogne,Boulogne,France,-1.3207157,46.7945085
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,2.0,AWD0000n5q,1915-09-29,Caestre,Caestre,FR,2.6027400000000003,50.758379999999995
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,2.0,AWD0000n5q,1915-09-29,Merris,Merris,France,2.661152,50.7159968
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,2.0,AWD0000n5q,1915-09-29,Nieppe,Nieppe,France,2.8403065,50.703612
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,5.0,AWD0000n4g,1915-10-04,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,5.0,AWD0000n4g,1915-10-07,Ploegsteerte Wood,Abbey Wood,United Kingdom,0.1140504,51.487621
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,5.0,AWD0000n4g,1915-10-09,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,5.0,AWD0000n4g,1915-10-10,Ypres,Ypres,Belgium,2.8846046999999997,50.8521947
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,5.0,AWD0000n4g,1915-10-10,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,7.0,AWD0000n61,1915-10-21,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,9.0,AWD0000n79,1915-10-27,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,10.0,AWD0000n5c,1915-11-20,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,10.0,AWD0000n5c,1915-11-21,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,10.0,AWD0000n5c,1915-11-21,Ypres,Ypres,Belgium,2.8846046999999997,50.8521947
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,11.0,AWD0000n4x,1915-11-28,Dickebusch,Dikkebus,BE,2.8287299999999997,50.82131
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,13.0,AWD0000n7d,1915-12-10,Dickebusch,Dikkebus,BE,2.8287299999999997,50.82131
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-06,Audruicq,Audruicq,France,2.0752362,50.8786489
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-06,Hellebronck,Hellebroek,NL,5.895919999999999,50.9125
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-06,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-07,Ganspette,Ganspette,FR,2.17132,50.81677
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-08,Audruicq,Audruicq,France,2.0752362,50.8786489
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-15,Ganspette,Ganspette,FR,2.17132,50.81677
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-15,Watten,Watten,France,2.212066,50.8324023
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,25.0,AWD0000n5d,1916-02-15,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,28.0,AWD0000n34,1916-03-03,Poperinge,Poperinge,Belgium,2.7264961,50.8556646
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,35.0,AWD0000n6q,1916-04-01,Saint Eloi,Saint Eloi,Belgium,5.1047399,49.8761297
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,35.0,AWD0000n6q,1916-04-02,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,35.0,AWD0000n6q,1916-04-02,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,35.0,AWD0000n6q,1916-04-06,Caestre,Caestre,FR,2.6027400000000003,50.758379999999995
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,36.0,AWD0000n2q,1916-04-08,Saint Eloi,Saint Eloi,Belgium,5.1047399,49.8761297
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,38.0,AWD0000n66,1916-04-18,La Clytte,De Klijte,BE,2.7983599999999997,50.79957
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,38.0,AWD0000n66,1916-04-18,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,38.0,AWD0000n66,1916-04-19,La Clytte,De Klijte,BE,2.7983599999999997,50.79957
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,38.0,AWD0000n66,1916-04-19,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,38.0,AWD0000n66,1916-04-22,Berthen,Berthen,France,2.6948334,50.7830945
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,39.0,AWD0000n2b,1916-04-24,Fletre,Flêtre,France,2.6456516,50.7533476
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,39.0,AWD0000n2b,1916-04-24,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,39.0,AWD0000n2b,1916-04-25,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,40.0,AWD0000n42,1916-04-27,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,40.0,AWD0000n42,1916-04-28,Lindenhoek,Lindenhoek,BE,2.8166700000000002,50.76667
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,40.0,AWD0000n42,1916-04-28,Kemmel Trenches,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,40.0,AWD0000n42,1916-04-28,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,41.0,AWD0000n3h,1916-04-30,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,41.0,AWD0000n3h,1916-04-30,Kemmel Trenches,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,41.0,AWD0000n3h,1916-04-30,Piccadilly,Piccadilly,United Kingdom,-2.2252035,53.4797939
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,41.0,AWD0000n3h,1916-04-30,Lindenhoek,Lindenhoek,BE,2.8166700000000002,50.76667
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,42.0,AWD0000n7x,1916-04-29,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,45.0,AWD0000n6u,1916-05-01,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,45.0,AWD0000n6u,1916-05-02,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,45.0,AWD0000n6u,1916-05-04,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,45.0,AWD0000n6u,1916-05-05,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,46.0,AWD0000n49,1916-05-06,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,46.0,AWD0000n49,1916-05-06,Lindenhoek,Lindenhoek,BE,2.8166700000000002,50.76667
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,46.0,AWD0000n49,1916-05-09,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,47.0,AWD0000n3q,1916-05-12,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,47.0,AWD0000n3q,1916-05-14,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,48.0,AWD0000n46,1916-05-16,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,48.0,AWD0000n46,1916-05-17,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,49.0,AWD0000n75,1916-05-21,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,53.0,AWD0000n4h,1916-06-04,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,54.0,AWD0000n2s,1916-06-05,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,54.0,AWD0000n2s,1916-06-05,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,55.0,AWD0000n8s,1916-06-08,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,55.0,AWD0000n8s,1916-06-08,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-09,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-10,Meteren,Meteren,The Netherlands,5.2832386,51.863605
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-11,Hardifort,Hardifort,France,2.4859078,50.8207229
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-11,Cassel,Cassel,France,2.4868314,50.8000011
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-12,Lederzeele,Lederzeele,France,2.3030594,50.8196325
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-13,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-14,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-15,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,56.0,AWD0000n2f,1916-06-16,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,57.0,AWD0000n77,1916-06-17,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,57.0,AWD0000n77,1916-06-18,Calais,Calais,France,1.8746800000000001,50.9488
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,57.0,AWD0000n77,1916-06-21,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-22,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-23,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-24,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-25,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-26,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-27,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,58.0,AWD0000n30,1916-06-28,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,59.0,AWD0000n7i,1916-06-30,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-06-30,Eperlecques,Eperlecques,FR,2.15207,50.805659999999996
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-01,Saint Omer,Saint-Omer,France,2.2540754,50.7521914
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-02,Doullens,Doullens,France,2.3410532,50.1572085
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-02,Gezaincourt,Gezaincourt,FR,2.32098,50.14074
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-03,Naours,Naours,France,2.2748218,50.0341443
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-04,Rainneville,Rainneville,France,2.3553166,49.9722345
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-04,Naours,Naours,France,2.2748218,50.0341443
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-05,Rainneville,Rainneville,France,2.3553166,49.9722345
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,61.0,AWD0000n73,1916-07-05,Franvillers,Franvillers,France,2.506784,49.9654632
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,62.0,AWD0000n5j,1916-07-06,Carnoy,Carnoy,France,2.7563297,49.9853379
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,62.0,AWD0000n5j,1916-07-06,Franvillers,Franvillers,France,2.506784,49.9654632
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,62.0,AWD0000n5j,1916-07-08,Carnoy,Carnoy,France,2.7563297,49.9853379
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,63.0,AWD0000n6f,1916-07-13,Longueval,Longueval,France,-0.2872381,49.2160282
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,63.0,AWD0000n6f,1916-07-13,Breslau,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,63.0,AWD0000n6f,1916-07-13,Breslau Trenches,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,63.0,AWD0000n6f,1916-07-13,Montauban,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,63.0,AWD0000n6f,1916-07-14,Montauban Alley,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,64.0,AWD0000n41,1916-07-14,Montauban Alley,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,64.0,AWD0000n41,1916-07-14,Montauban,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,65.0,AWD0000n33,1916-07-15,Montauban Alley,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,66.0,AWD0000n4y,1916-07-15,Montauban Alley,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,66.0,AWD0000n4y,1916-07-15,Montauban,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,66.0,AWD0000n4y,1916-07-16,High Wood,High Wood,United Kingdom,-2.1995349,51.7671349
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,67.0,AWD0000n6n,1916-07-19,Breslau,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,70.0,AWD0000n57,1916-07-20,Breslau,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-21,Breslau,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-21,Breslau Trenches,Breslau,France,-4.1955171,48.6399187
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-23,Longueval,Longueval,France,-0.2872381,49.2160282
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-24,Montauban,Montauban,France,-2.4537307,48.1097629
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-25,Bois de Tailles,Au-dessus du Bois des Tailles,Belgium,5.3024702999999995,50.1540804
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-26,Somme,Vaux-sur-Somme,France,2.5493162,49.9220575
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,72.0,AWD0000n3w,1916-07-27,Erzingan,Erzingen,DE,8.81477,48.250679999999996
